id,type,wait_time,exec_time
0,256-4096,4936000.0,4035970.802919708
1,1024-2048,6255400.0,5355379.310344827
2,1024-2048,5255400.0,5355379.310344827
3,4096-1024,8012100.0,7112075.835475579
4,512-128,908100.0,8081.408376963351
5,4096-128,1018500.0,118402.44215938303
6,1024-512,1240200.0,340165.5172413793
7,4096-256,1356800.0,456702.44215938303
8,1024-128,922900.0,22852.41379310345
9,1024-1024,1245800.0,1345724.1379310344
10,1024-8192,85255900.0,85355862.06896552
13,2048-128,26309500.0,53532.0
12,256-2048,48328300.0,1018715.3284671532
14,256-2048,8328300.0,1018715.3284671532
11,4096-2048,97656400.0,28328084.832904886
15,256-1024,18876100.0,259054.01459854015
16,4096-512,2694400.0,1794325.1928020567
17,1024-2048,6255400.0,5355379.310344827
18,512-1024,1346100.0,446058.6387434555
19,256-256,918100.0,18064.642335766424
20,2048-4096,52992000.0,52092000.0
21,2048-4096,51992000.0,52092000.0
22,512-256,33021700.0,29671.675392670157
24,512-512,13800.0,113754.03141361257
23,512-8192,40952800.0,28052670.157068063
25,512-4096,7027300.0,7028298.4293193715
27,4096-1024,6112100.0,7112075.835475579
26,4096-8192,452614700.0,451714652.95629823
29,512-128,393388600.0,8081.408376963351
31,512-128,353388600.0,8081.408376963351
28,512-256,413410200.0,29671.675392670157
37,512-256,233418300.0,29671.675392670157
41,512-2048,155154400.0,1765774.8691099477
32,1024-128,336177300.0,22852.41379310345
33,1024-256,316241300.0,86862.75862068965
44,1024-256,96241300.0,86862.75862068965
35,1024-512,276517500.0,340165.5172413793
38,1024-512,216581500.0,340165.5172413793
39,1024-2048,201596700.0,5355379.310344827
49,512-128,2602300.0,8081.408376963351
40,2048-256,183813300.0,208440.0
34,2048-2048,316648800.0,13044000.0
46,2048-4096,115905300.0,52092000.0
50,256-128,36850800.0,5276.14598540146
30,256-4096,440941300.0,4035970.802919708
48,256-4096,80941300.0,4035970.802919708
45,256-8192,152982300.0,16076905.109489052
52,1024-512,14261900.0,340165.5172413793
51,2048-1024,38533900.0,3271200.0
55,2048-512,813000.0,822960.0
47,2048-4096,167414500.0,52092000.0
54,4096-1024,35421900.0,7112075.835475579
